census_year,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_description,number_of_seats,longitude,latitude,location
2022,118-126 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Club Colombia Restaurant,"Shop 1-2, 118 Queen Street MELBOURNE VIC 3000",Cafes and Restaurants,57,144.9612981,-37.81565458,"-37.8156545827957, 144.9612980901"
2022,Royal Arcade 331-339 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Caffe E Torta,314 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,24,144.9639641,-37.81438774,"-37.81438773817147, 144.9639640607"
2022,Royal Arcade 331-339 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Caffe E Torta,314 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,28,144.9639641,-37.81438774,"-37.81438773817147, 144.9639640607"
2022,The Hub Arcade 318-322 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Dove Club,Level 2 318-322 Little Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",120,144.9640096,-37.81488661,"-37.814886608596126, 144.96400961705"
2022,304-306 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Laurent Boulangerie Patisserie,"Bmt, Gnd & Mezz 306 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,30,144.9643479,-37.81472868,"-37.81472868260109, 144.9643479344"
2022,139-141 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Gopal's Vegetarian Restaurant,Level 1-2 139-141 Swanston Street MELBOURNE VIC 3000,Cafes and Restaurants,80,144.9657319,-37.81441146,"-37.81441145705, 144.96573187201267"
2022,235-251 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Cafe Soho,"Shop 33, 239 Bourke Street MELBOURNE VIC 3000",Takeaway Food Services,12,144.9666196,-37.81373785,"-37.81373785326741, 144.966619556"
2022,235-251 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Taste of Hunan,"Shop 24, 239 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,65,144.9666196,-37.81373785,"-37.81373785326741, 144.966619556"
2022,188-194 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Marameo,6 Russell Place MELBOURNE VIC 3000,Cafes and Restaurants,65,144.9675812,-37.81390745,"-37.81390744936704, 144.9675811687"
2022,115-127 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),The Crafty Squire,115-127 Russell Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",40,144.9681534,-37.81368233,"-37.81368233014109, 144.96815337114998"
2022,134-142 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),L'Incontro,140 Swanston Street MELBOURNE VIC 3000,Cafes and Restaurants,20,144.9662916,-37.81430518,"-37.81430518475, 144.96629164570368"
